YYYYMM,Unit,Coal Production,Natural Gas (Dry) Production,Crude Oil Production,Natural Gas Plant Liquids Production,Total Fossil Fuels Production,Nuclear Electric Power Production,Hydroelectric Power Production,Geothermal Energy Production,Solar Energy Production,Wind Energy Production,Biomass Energy Production,Total Renewable Energy Production,Total Primary Energy Production
197404,Quadrillion Btu,1.268152,1.747968,1.55799,0.201046,4.775157,0.079566,0.293702,0.002039,NA,NA,0.126583,0.422323,5.277046
197405,Quadrillion Btu,1.343967,1.813504,1.602122,0.207002,4.966595,0.073242,0.294828,0.00204,NA,NA,0.130789,0.427657,5.467495
197406,Quadrillion Btu,1.120607,1.709056,1.527761,0.199631,4.557055,0.079015,0.280695,0.001975,NA,NA,0.126611,0.409281,5.045352
197407,Quadrillion Btu,1.149793,1.784832,1.578667,0.202951,4.716243,0.113953,0.276772,0.002191,NA,NA,0.130756,0.409719,5.239915
197408,Quadrillion Btu,1.209619,1.757184,1.564057,0.205275,4.736135,0.137654,0.253175,0.002163,NA,NA,0.130763,0.386101,5.259889
197409,Quadrillion Btu,1.227477,1.723392,1.46907,0.194217,4.614156,0.12288,0.225274,0.001999,NA,NA,0.126637,0.35391,5.090946
197410,Quadrillion Btu,1.41053,1.734656,1.548304,0.206563,4.900053,0.121248,0.210955,0.00203,NA,NA,0.130718,0.343703,5.365003
197411,Quadrillion Btu,0.791646,1.697792,1.490971,0.200829,4.181238,0.122819,0.222713,0.002414,NA,NA,0.126506,0.351633,4.65569
197412,Quadrillion Btu,0.940784,1.757184,1.533068,0.204559,4.435595,0.148309,0.243428,0.00254,NA,NA,0.130674,0.376642,4.960546
197413,Quadrillion Btu,14.074451,21.210145,18.574993,2.434819,56.294408,1.272083,3.17658,0.02561,NA,NA,1.539662,4.741852,62.308343
197501,Quadrillion Btu,1.275523,1.737742,1.520203,0.19817,4.731639,0.153503,0.263371,0.002117,NA,NA,0.127269,0.392756,5.277898
197502,Quadrillion Btu,1.198498,1.607054,1.395202,0.180795,4.381549,0.140232,0.251317,0.002019,NA,NA,0.114942,0.368278,4.890059
197503,Quadrillion Btu,1.216907,1.697923,1.527123,0.201627,4.643579,0.163893,0.293961,0.002277,NA,NA,0.127251,0.42349,5.230962
197504,Quadrillion Btu,1.237491,1.632579,1.471448,0.192447,4.533965,0.146773,0.279947,0.002281,NA,NA,0.123139,0.405368,5.086106
197505,Quadrillion Btu,1.292673,1.649936,1.506504,0.195436,4.644549,0.15158,0.291504,0.002475,NA,NA,0.127303,0.421283,5.217412
197506,Quadrillion Btu,1.298947,1.595823,1.465219,0.193757,4.553746,0.140348,0.28531,0.00307,NA,NA,0.123241,0.411622,5.105715
197507,Quadrillion Btu,1.062764,1.637684,1.498766,0.19717,4.396385,0.169294,0.268081,0.003091,NA,NA,0.127288,0.398459,4.964138
197508,Quadrillion Btu,1.197399,1.637684,1.48313,0.200634,4.518846,0.174883,0.237557,0.003351,NA,NA,0.127321,0.36823,5.061959
197509,Quadrillion Btu,1.295192,1.565193,1.440656,0.185566,4.486607,0.158543,0.215793,0.002954,NA,NA,0.12321,0.341957,4.987107
197510,Quadrillion Btu,1.39571,1.608075,1.496731,0.199767,4.700282,0.161078,0.238068,0.003406,NA,NA,0.127312,0.368786,5.230146
197511,Quadrillion Btu,1.248596,1.580508,1.440349,0.192415,4.461868,0.155988,0.256706,0.00331,NA,NA,0.12318,0.383196,5.001053
197512,Quadrillion Btu,1.269616,1.689755,1.483988,0.200159,4.643518,0.183682,0.27299,0.003429,NA,NA,0.127277,0.403696,5.230896
197513,Quadrillion Btu,14.989315,19.640343,17.729318,2.337943,54.696919,1.899798,3.154607,0.03378,NA,NA,1.498734,4.68712,61.283838
197601,Quadrillion Btu,1.213441,1.70952,1.480073,0.191487,4.59452,0.177844,0.273323,0.003403,NA,NA,0.145049,0.421775,5.19414
197602,Quadrillion Btu,1.239038,1.60752,1.384489,0.185392,4.416439,0.158824,0.257277,0.0032,NA,NA,0.135695,0.396173,4.971436
197603,Quadrillion Btu,1.40428,1.67382,1.480148,0.195131,4.753379,0.15458,0.278567,0.003426,NA,NA,0.145051,0.427044,5.335003
197604,Quadrillion Btu,1.363644,1.58508,1.405398,0.18893,4.543052,0.121316,0.253482,0.003086,NA,NA,0.140363,0.396931,5.061299
197605,Quadrillion Btu,1.336766,1.63302,1.460788,0.191803,4.622377,0.131784,0.267732,0.002949,NA,NA,0.145047,0.415728,5.169888
197606,Quadrillion Btu,1.377928,1.6014,1.408431,0.187703,4.575462,0.174072,0.268088,0.003063,NA,NA,0.140405,0.411555,5.16109
197607,Quadrillion Btu,1.024087,1.63608,1.461264,0.192278,4.313708,0.195628,0.273026,0.003311,NA,NA,0.145088,0.421425,4.930762
197608,Quadrillion Btu,1.239015,1.59732,1.458288,0.192831,4.487455,0.202851,0.249759,0.00326,NA,NA,0.14511,0.398129,5.088436
197609,Quadrillion Btu,1.39756,1.52796,1.418036,0.187333,4.530889,0.191006,0.213376,0.003173,NA,NA,0.140436,0.356984,5.07888
197610,Quadrillion Btu,1.357336,1.60038,1.44978,0.193373,4.600868,0.191723,0.22099,0.003082,NA,NA,0.145114,0.369186,5.161777
197611,Quadrillion Btu,1.354684,1.59732,1.40585,0.189464,4.547319,0.178235,0.208138,0.002597,NA,NA,0.140651,0.351386,5.07694
197612,Quadrillion Btu,1.345908,1.71156,1.449298,0.19199,4.698756,0.233256,0.212507,0.002963,NA,NA,0.145364,0.360834,5.292846
